cod_fabrica,cod_venta,descripcion,precio
82161,BI6511BL,Enterito 100% Lino Made In Italy,52000
82161,BI6511RS,Enterito 100% Lino Made In Italy,52000
82161,BI6511TJ,Enterito 100% Lino Made In Italy,52000
82161,BI6511BD,Enterito 100% Lino Made In Italy,52000
82161,BI6511BG,Enterito 100% Lino Made In Italy,52000
82161,BI6511FG,Enterito 100% Lino Made In Italy,52000
82161,BI6511MG,Enterito 100% Lino Made In Italy,52000
82161,BI6511CL,Enterito 100% Lino Made In Italy,52000
82161,BI6511ZM,Enterito 100% Lino Made In Italy,52000
82161,BI6511NG,Enterito 100% Lino Made In Italy,52000
8510,BI6512BL,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512RS,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512TJ,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512BD,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512BG,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512FG,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512MG,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512CL,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512ZM,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8510,BI6512NG,Pantalon Lino Pata Ancha 100%Lino Made In Italy,42000
8511,BI6513BL,Pantalon 100% Lino Made In Italy,42000
8511,BI6513RS,Pantalon 100% Lino Made In Italy,42000
8511,BI6513TJ,Pantalon 100% Lino Made In Italy,42000
8511,BI6513BD,Pantalon 100% Lino Made In Italy,42000
8511,BI6513BG,Pantalon 100% Lino Made In Italy,42000
8511,BI6513FG,Pantalon 100% Lino Made In Italy,42000
8511,BI6513MG,Pantalon 100% Lino Made In Italy,42000
8511,BI6513CL,Pantalon 100% Lino Made In Italy,42000
8511,BI6513ZM,Pantalon 100% Lino Made In Italy,42000
8511,BI6513NG,Pantalon 100% Lino Made In Italy,42000
8512,BI6514BL,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514RS,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514TJ,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514BD,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514BG,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514FG,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514MG,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514CL,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514ZM,Chaqueta 100% Lino Made In Italy,45000
8512,BI6514NG,Chaqueta 100% Lino Made In Italy,45000
8440,BI6515BL,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515RS,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515TJ,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515BD,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515BG,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515FG,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515MG,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515CL,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515ZM,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
8440,BI6515NG,Camisa Lino Sin Bolsillo 100% Lino Made In Italy,41000
845312,BI6516BL,Short 100% Lino Made In Italy,35000
845312,BI6516RS,Short 100% Lino Made In Italy,35000
845312,BI6516TJ,Short 100% Lino Made In Italy,35000
845312,BI6516BD,Short 100% Lino Made In Italy,35000
845312,BI6516BG,Short 100% Lino Made In Italy,35000
845312,BI6516FG,Short 100% Lino Made In Italy,35000
845312,BI6516MG,Short 100% Lino Made In Italy,35000
845312,BI6516CL,Short 100% Lino Made In Italy,35000
845312,BI6516ZM,Short 100% Lino Made In Italy,35000
845312,BI6516NG,Short 100% Lino Made In Italy,35000
3383,BI6517BL,Vestido 100% Lino Made In Italy,46000
