nombrepunto;tipo;direccion;comuna;fech_inicio;fech_termino;hora_sem;hora_vie;hora_sab;hora_dom
ED;propio;Parque Bicentenario;Vitacura;05-11-25;08-11-25;11:00 a 22:00;11:00 a 23:00;11:00 a 23:00;11:00 a 20:00
Cachagua;propio;Cachagua;Zapallar;23-01-26;26-01-26;11:00 a 22:00;11:00 a 23:00;11:00 a 23:00;11:00 a 20:00
Cenco Rancagua;productora;Jumbo Rancagua;Rancagua;13-11-25;01-12-25;10:00 a 20:30;10:00 a 21:01;10:00 a 21:00;10:00 a 20:30
