timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-01 22:23:43;Bazar Cenco La Dhesa;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-01 22:24:02;Bazar Cenco La Dhesa;6339;BI6140CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;38000
2025-10-01 22:24:37;Bazar Cenco La Dhesa;2470;BI6100CO;Jeans;35000
2025-10-01 22:27:07;Bazar Cenco La Dhesa;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-01 22:37:27;Bazar Cenco La Dhesa;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-01 22:37:38;Bazar Cenco La Dhesa;6339;BI6140CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;38000
2025-10-01 22:37:53;Bazar Cenco La Dhesa;2470;BI6100CO;Jeans;35000
2025-10-01 22:38:51;Bazar Cenco La Dhesa;2471;BI6101CO;Jeans;35000
