timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-02 08:49:22;CM 2 Ceci;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-02 08:49:34;CM 2 Ceci;6339;BI6140CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;38000
