timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-18 18:29:27;A01-Vivo Los Trapenses-Gina;10035;BI6567NG;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-18 18:29:35;A01-Vivo Los Trapenses-Gina;10035;BI6567CL;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-18 18:29:51;A01-Vivo Los Trapenses-Gina;2343;BI6500BG;Vestido 100% Lino Made In Italy;45000
2025-10-18 18:30:00;A01-Vivo Los Trapenses-Gina;10035;BI6567MG;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-18 18:31:38;A01-Vivo Los Trapenses-Gina;10075;BI6596BL;Pantalon Pata Ancha 100% Lino Made In Italy;44000
