timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-02 11:57:15;CM3 Jesu;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-02 11:57:47;CM3 Jesu;23581;BI6121CO;Jersey 35%Lana 35%Ancora 30%Viscosa;25000
