timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-07 08:39:43;CM 1 Marcia;5802;BI6130CO;Jersey Lana 57%Acrilico 29%Poliamide 7%Lana 7%Viscosa;35000
2025-10-07 08:40:05;CM 1 Marcia;00603;BI6124CO;Jersey Conjunto Con Camisa 40%Viscosa 30%Ancora 30%Lana;35000
2025-10-07 08:40:24;CM 1 Marcia;10002;BI6132CO;Abrigo 100%Poliestere;57000
2025-10-07 08:48:49;CM 1 Marcia;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-07 08:49:03;CM 1 Marcia;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-07 09:38:09;CM 1 Marcia;7801;BI6570BL;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-10-07 09:43:59;CM 1 Marcia;2343;BI6500;Vestido 100% Lino Made In Italy;45000
2025-10-07 09:44:24;CM 1 Marcia;2343;BI6500BL;Vestido 100% Lino Made In Italy;45000
