timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-18 17:51:48;A01-Vivo Los Trapenses-Paz;10035;BI6567NG;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-18 17:51:54;A01-Vivo Los Trapenses-Paz;10035;BI6567CL;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-18 17:52:11;A01-Vivo Los Trapenses-Paz;2343;BI6500BG;Vestido 100% Lino Made In Italy;45000
2025-10-18 17:52:24;A01-Vivo Los Trapenses-Paz;2343;BI6500MG;Vestido 100% Lino Made In Italy;45000
