timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-16 16:15:10;B04-Vende Mario;10035;BI6567NG;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-16 16:15:36;B04-Vende Mario;9431;BI6589NG;Pantalon Lazo De Amarra Bolsillos Diagonales Laterales 100% Lino Made In Italy;44000
2025-10-16 16:15:49;B04-Vende Mario;10749;BI6569BL;Blusa Camisera Bolsillo Parche 100%Lino Made In Italy;42000
2025-10-16 16:30:08;B04-Vende Mario;10040;BI6568BL;Short Bolsillo Laterales Pretina 100%Lino Made In Italy;32000
