timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-05 22:13:00;Bazar Cenco La Dhesa;5995;BI6138CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;45000
2025-10-05 22:13:09;Bazar Cenco La Dhesa;6339;BI6140CO;Jersey 51%Viscosa 24%Nylon 25%Pbt;38000
