timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-18 20:48:53;A05-Bazar Cenco Rancagua;10035;BI6567MG;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-18 20:49:00;A05-Bazar Cenco Rancagua;12832;BI6564CL;Falda Pretina Ancha Lino 100% Lino Made In Italy;44000
